recipient_state_name,action_date_fiscal_year,total_obligated_amount,money_per_student_per_state,ACT_Score,SAT_Score
ALABAMA,2023,56041979.6,12090.0,18.0,1161.0
ALASKA,2023,18042270.09,21320.0,20.4,1082.0
ARIZONA,2023,14011049809.6,9070.0,18.4,1183.0
ARKANSAS,2023,41251907.76,12390.0,18.8,1192.0
CALIFORNIA,2023,120561929643.51,16290.0,26.5,1083.0
COLORADO,2023,2116322096.33,15230.0,23.2,996.0
CONNECTICUT,2023,76884863.68,23450.0,26.3,1007.0
DELAWARE,2023,397661.0,16640.0,24.9,958.0
DISTRICT OF COLUMBIA,2023,21624698.4,19000.0,26.9,969.0
FLORIDA,2023,60426599051.28,11770.0,19.0,966.0
GEORGIA,2023,7003405708.97,13270.0,21.6,1054.0
HAWAII,2023,14763621.59,17990.0,18.8,1114.0
IDAHO,2023,69734760.3,8750.0,,970.0
ILLINOIS,2023,12828525145.12,20890.0,22.8,970.0
INDIANA,2023,127765863.22,13190.0,24.5,971.0
IOWA,2023,5128900561.49,15110.0,22.8,1208.0
KANSAS,2023,3258320775.95,16880.0,21.4,1245.0
KENTUCKY,2023,5344649092.13,14040.0,19.9,1208.0
LOUISIANA,2023,159151450.78,12990.0,18.6,1194.0
MAINE,2023,16167530.03,19890.0,18.1,1080.0
MARSHALL ISLANDS,2023,242228009.29000002,,,
MARYLAND,2023,1015820843.73,18340.0,25.1,1008.0
MASSACHUSETTS,2023,10418961.97,22910.0,24.4,1112.0
MICHIGAN,2023,17339658937.72,14550.0,26.5,967.0
MINNESOTA,2023,4596310424.39,17200.0,24.6,1201.0
MISSISSIPPI,2023,13828895803.07,11930.0,21.0,1184.0
MISSOURI,2023,6026812009.36,13440.0,17.8,1191.0
MONTANA,2023,842374457.3,15030.0,20.2,1193.0
NEBRASKA,2023,3591070713.53,16640.0,19.8,1252.0
NEVADA,2023,4443462.0,11120.0,19.4,1166.0
NEW HAMPSHIRE,2023,3769838.43,19630.0,17.3,1035.0
NEW JERSEY,2023,2184996612.76,23870.0,25.7,1066.0
NEW MEXICO,2023,1818332761.49,13230.0,24.6,901.0
NEW YORK,2023,4983905092.86,30280.0,19.8,1039.0
NORTH CAROLINA,2023,282959352.16,10920.0,25.3,1127.0
NORTH DAKOTA,2023,552497586.32,17920.0,18.5,1287.0
OHIO,2023,7619104009.85,16230.0,19.2,1044.0
OKLAHOMA,2023,796631889.71,10510.0,19.4,953.0
OREGON,2023,12636770469.72,18140.0,17.9,1125.0
PENNSYLVANIA,2023,12956785174.51,20000.0,23.0,1078.0
PUERTO RICO,2023,291255425.42,,,
RHODE ISLAND,2023,14206207.0,19580.0,24.4,958.0
SOUTH CAROLINA,2023,92083821.02,14040.0,25.2,1028.0
SOUTH DAKOTA,2023,1134583991.8,13030.0,18.9,1208.0
TENNESSEE,2023,2162246696.28,11610.0,21.5,1191.0
TEXAS,2023,126180363458.14,13680.0,18.6,978.0
UTAH,2023,121024419.79,9480.0,19.8,1239.0
VERMONT,2023,947505.69,24670.0,19.9,1099.0
VIRGINIA,2023,625814942.0,15200.0,23.7,1113.0
WASHINGTON,2023,825626512.86,19520.0,24.6,1081.0
WEST VIRGINIA,2023,99300690.31,14520.0,20.5,923.0
WISCONSIN,2023,2214668975.7,15970.0,19.4,1236.0
WYOMING,2023,1292942138.41,19890.0,19.2,1200.0
ALABAMA,2024,63489149.86,13461.0,18.0,1157.0
ALASKA,2024,1858609.24,22000.0,19.9,1079.0
ARIZONA,2024,17001998739.92,10090.0,17.7,1185.0
ARKANSAS,2024,47715289.0,13258.0,18.5,1188.0
CALIFORNIA,2024,146766894240.13,18020.0,26.5,1086.0
COLORADO,2024,2446234152.42,16410.0,24.7,998.0
CONNECTICUT,2024,20828653.0,25023.0,26.5,990.0
DELAWARE,2024,417384.0,18203.0,24.8,948.0
DISTRICT OF COLUMBIA,2024,20379362.0,18272.0,26.7,937.0
FLORIDA,2024,66751409924.060005,12415.0,18.8,948.0
GEORGIA,2024,8946822832.75,14660.0,21.5,1039.0
HAWAII,2024,1000000.0,19719.0,18.2,1124.0
IDAHO,2024,94860472.15,9387.0,,998.0
ILLINOIS,2024,13994607236.83,21829.0,23.3,966.0
INDIANA,2024,112436666.97,14162.0,24.5,969.0
IOWA,2024,5908189013.7300005,16021.0,23.3,1195.0
KANSAS,2024,3488281151.92,16594.0,21.2,1256.0
KENTUCKY,2024,5101631835.19,15337.0,19.4,1208.0
LOUISIANA,2024,166115631.23,13760.0,18.6,1195.0
MAINE,2024,20269747.0,19310.0,18.2,1074.0
MARSHALL ISLANDS,2024,403989234.11,,,
MARYLAND,2024,1783475300.51,19818.0,25.4,998.0
MASSACHUSETTS,2024,9568805.9,24359.0,24.6,1109.0
MICHIGAN,2024,18185934661.95,16208.0,26.9,965.0
MINNESOTA,2024,4489344667.79,18057.0,24.4,1215.0
MISSISSIPPI,2024,15854364474.619999,12394.0,20.8,1197.0
MISSOURI,2024,7191874299.9,14703.0,17.7,1193.0
MONTANA,2024,1018971751.3,15500.0,19.7,1204.0
NEBRASKA,2024,5223841543.37,16643.0,19.1,1227.0
NEVADA,2024,5241086.0,12229.0,17.2,1180.0
NEW HAMPSHIRE,2024,1406076.1,21898.0,25.8,1023.0
NEW JERSEY,2024,2081474633.38,26558.0,24.1,1050.0
NEW MEXICO,2024,1848623432.26,14687.0,20.0,885.0
NEW YORK,2024,5500692872.01,33437.0,25.4,1035.0
NORTH CAROLINA,2024,384836331.31,12352.0,18.4,1161.0
NORTH DAKOTA,2024,639777240.37,18486.0,19.1,1229.0
OHIO,2024,9165463444.74,16687.0,19.1,1025.0
OKLAHOMA,2024,989028735.27,11349.0,17.6,966.0
OREGON,2024,14316598877.53,19376.0,21.1,1117.0
PENNSYLVANIA,2024,18668972656.87,21441.0,24.2,1075.0
PUERTO RICO,2024,333779888.33,,,
RHODE ISLAND,2024,13107924.0,21051.0,25.4,954.0
SOUTH CAROLINA,2024,98825944.63,14884.0,18.7,1015.0
SOUTH DAKOTA,2024,1278007727.67,13636.0,21.2,1214.0
TENNESSEE,2024,2330748357.2999997,12431.0,18.4,1191.0
TEXAS,2024,147471563707.41,14257.0,19.7,971.0
UTAH,2024,211482579.38,9977.0,19.6,1230.0
VERMONT,2024,850080.9400000001,26974.0,23.6,1097.0
VIRGINIA,2024,798495364.0,16445.0,24.8,1101.0
WASHINGTON,2024,976327066.84,20748.0,24.4,1081.0
WEST VIRGINIA,2024,132971217.66,15356.0,20.3,919.0
WISCONSIN,2024,2771177799.18,16744.0,19.1,1221.0
WYOMING,2024,1521627907.96,20159.0,19.1,1253.0
ALABAMA,2025,59176509.629999995,13598.0,18.0,1172.0
ALASKA,2025,1264329.8199999998,20340.0,19.7,1097.0
ARIZONA,2025,20056380460.5,12003.0,17.4,1194.0
ARKANSAS,2025,82986176.15,13873.0,18.5,1177.0
CALIFORNIA,2025,199030577963.02,20233.0,26.6,1096.0
COLORADO,2025,3044644706.4700003,15897.0,24.7,987.0
CONNECTICUT,2025,33242246.84,25801.0,27.1,989.0
DELAWARE,2025,371393.0,22201.0,24.8,933.0
DISTRICT OF COLUMBIA,2025,46570168.36,31629.0,26.4,937.0
FLORIDA,2025,88905906661.78,12689.0,18.8,970.0
GEORGIA,2025,12343558698.95,15833.0,21.4,1038.0
IDAHO,2025,66934271.8,11056.0,,1003.0
ILLINOIS,2025,21463547801.579998,20253.0,23.3,961.0
INDIANA,2025,71875952.53999999,13622.0,24.5,950.0
IOWA,2025,8486367191.08,14369.0,23.5,1211.0
KANSAS,2025,4288227840.5,14847.0,21.0,1238.0
KENTUCKY,2025,5942778835.49,14596.0,19.2,1181.0
LOUISIANA,2025,205064773.44,14645.0,18.4,1195.0
MAINE,2025,17121863.28,19962.0,18.3,1078.0
MARSHALL ISLANDS,2025,680413126.12,,,
MARYLAND,2025,2061746369.46,20208.0,25.4,1003.0
MASSACHUSETTS,2025,6792289.76,22947.0,24.9,1114.0
MICHIGAN,2025,24406156693.96,18314.0,26.4,953.0
MINNESOTA,2025,6605856350.87,17098.0,24.6,1210.0
MISSISSIPPI,2025,20781148714.91,12093.0,20.6,1223.0
MISSOURI,2025,9756307177.38,14241.0,17.7,1174.0
MONTANA,2025,955242548.95,13656.0,19.8,1205.0
NEBRASKA,2025,6467934953.11,16147.0,19.2,1249.0
NEVADA,2025,4708621.0,11673.0,17.1,1177.0
NEW HAMPSHIRE,2025,1246161.9,22978.0,25.8,1017.0
NEW JERSEY,2025,2768428133.3500004,26280.0,24.6,1061.0
NEW MEXICO,2025,1647409608.92,17844.0,20.6,875.0
NEW YORK,2025,7117739062.48,30012.0,25.9,1045.0
NORTH CAROLINA,2025,371741562.96999997,12995.0,18.3,1165.0
NORTH DAKOTA,2025,812453682.78,17102.0,19.1,1254.0
OHIO,2025,11675716906.6,17257.0,19.0,1018.0
OKLAHOMA,2025,885940690.07,12162.0,17.5,1150.0
OREGON,2025,19781716642.69,17161.0,20.6,1127.0
PENNSYLVANIA,2025,21840939984.51,21091.0,24.0,1084.0
PUERTO RICO,2025,359666002.45,,,
RHODE ISLAND,2025,5019275.0,22110.0,25.3,935.0
SOUTH CAROLINA,2025,93919399.4,15060.0,18.8,1017.0
SOUTH DAKOTA,2025,1311313754.19,12828.0,21.0,1214.0
TENNESSEE,2025,3505477579.64,12197.0,18.4,1189.0
TEXAS,2025,190596560142.3,12444.0,19.6,964.0
UTAH,2025,161531118.5,11342.0,19.4,1229.0
