"stateFlagCode","state","K12PerPupilAnnualSpendingByState_2025","K12PerPupilAnnualSpendingByState_2024","K12PerPupilAnnualSpendingByState_2023","K12SpendingAsPctOfTaxpayerIncomeByState_2025","K12SpendingAsPctOfTaxpayerIncomeByState_2024","K12SpendingAsPctOfTaxpayerIncomeByState_2023"
,"District of Columbia",31629,18272,19000,2.25,2.29,2.55
,"New York",30012,33437,30280,4.73,5.26,4.96
,"Vermont",28818,26974,24670,5.34,5.21,4.93
,"New Jersey",26280,26558,23870,4.83,4.82,4.44
,"Connecticut",25801,25023,23450,3.75,3.95,3.82
,"Hawaii",23878,19719,17990,3.96,3.53,3.39
,"New Hampshire",22978,21898,19630,3.09,3.34,3.13
,"Massachusetts",22947,24359,22910,3.4,3.55,3.43
,"Delaware",22201,18203,16640,3.85,3.73,3.59
,"Rhode Island",22110,21051,19580,3.74,3.91,3.78
,"Pennsylvania",21091,21441,20000,3.88,4.06,3.96
,"Wyoming",20521,20159,19890,3.68,3.89,4.36
,"Alaska",20340,22000,21320,5,5.47,5.42
,"Illinois",20253,21829,20890,4.19,4.46,4.44
,"California",20233,18020,16290,3.21,3.38,3.17
,"Maryland",20208,19818,18340,3.63,3.79,3.65
,"Maine",19962,19310,19890,3.65,3.69,4.09
,"Washington",18564,20748,19520,3,3.58,3.53
,"Michigan",18314,16208,14550,3.53,3.79,3.65
,"New Mexico",17844,14687,13230,4.17,3.95,3.75
,"Ohio",17257,16687,16230,3.54,3.87,3.96
,"Oregon",17161,19376,18140,3.44,3.9,3.86
,"Virginia",17104,16445,15200,3.17,3.22,3.13
,"North Dakota",17102,18486,17920,3.59,3.88,3.97
,"Minnesota",17098,18057,17200,3.25,3.77,3.8
,"Nebraska",16147,16643,16640,3.65,3.88,4.27
,"Colorado",15897,16410,15230,2.73,3.04,3.04
,"Georgia",15833,14660,13270,3.84,3.89,3.62
,"Wisconsin",15790,16744,15970,3.25,3.59,3.6
,"South Carolina",15060,14884,14040,3.36,3.81,3.77
,"Kansas",14847,16594,16880,3.87,4.17,4.55
,"Louisiana",14645,13760,12990,3.47,3.67,3.49
,"Kentucky",14596,15337,14040,3.62,4.04,3.87
,"West Virginia",14575,15356,14520,3.93,4.13,4.13
,"Iowa",14369,16021,15110,3.47,4.07,4.04
,"Missouri",14241,14703,13440,3.11,3.38,3.36
,"Arkansas",13873,13258,12390,3.49,3.7,3.73
,"Montana",13656,15500,15030,2.69,3.17,3.42
,"Indiana",13622,14162,13190,3.05,3.49,3.4
,"Alabama",13598,13461,12090,3.48,3.65,3.44
,"North Carolina",12995,12352,10920,2.51,2.84,2.66
,"South Dakota",12828,13636,13030,2.63,2.9,3.02
,"Florida",12689,12415,11770,2.16,2.29,2.28
,"Texas",12444,14257,13680,2.93,3.89,3.89
,"Tennessee",12197,12431,11610,2.71,2.82,2.76
,"Oklahoma",12162,11349,10510,3.03,3.24,3.24
,"Mississippi",12093,12394,11930,3.62,3.74,3.81
,"Arizona",12003,10090,9070,2.19,2.46,2.4
,"Nevada",11673,12229,11120,2.32,2.8,2.69
,"Utah",11342,9977,9480,2.96,3.15,3.24
,"Idaho",11056,9387,8750,2.55,2.55,2.53
